name,company,city,state,lat,lon,open,close,checked,note,type,capacity,capacity_unit
Morrilton,Green Bay Packaging,Morrilton,AR,35.15,-92.74,1966,,0,,pulp,,
Kingsport,Domtar,Kingsport,TN,36.55,-82.55,1916,,0,,pulp,,
Counce,Packaging Corp. of America,Counce,TN,35.05,-88.27,1957,,0,,pulp,,
Calhoun,Domtar,Calhoun,TN,35.3,-84.75,1954,,0,,pulp,,
Hawesville,Domtar,Hawesville,KY,37.9,-86.75,1969,,0,,pulp,,
Plymouth,Domtar,Plymouth,NC,35.86,-76.75,1937,,0,,pulp,,
Roanoke Rapids,Smurfit Westrock,Roanoke Rapids,NC,36.46,-77.65,1907,,0,,pulp,,
Riegelwood,International Paper,Riegelwood,NC,34.35,-78.21,1951,,0,One pulp machine permanently shut at the end of 2023.,pulp,,
New Bern,Global Cellulose Fibers (ex-IP),New Bern,NC,35.17,-77.01,1969,,0,,pulp,,
Florence,Smurfit Westrock,Florence,SC,34.14,-79.64,1963,,0,,pulp,,
Eastover,International Paper,Eastover,SC,33.86,-80.66,1984,,0,,pulp,,
Catawba,New-Indy Containerboard,Catawba,SC,34.84,-80.88,1959,,0,,pulp,,
Covington,Smurfit Westrock,Covington,VA,37.79,-79.99,1899,,0,,pulp,,
Franklin,Global Cellulose Fibers (ex-IP),Franklin,VA,36.68,-76.92,1937,,0,Paper making ended in 2010; fluff pulp production continues.,pulp,,
West Point,Smurfit Westrock,West Point,VA,37.54,-76.8,1914,,0,,pulp,,
Rumford,ND Paper,Rumford,ME,44.55,-70.55,1901,,0,,pulp,,
Somerset,Sappi,Skowhegan,ME,44.74,-69.66,1976,,0,,pulp,,
Woodland,Woodland Pulp,Baileyville,ME,45.16,-67.4,1906,,0,,pulp,,
Ticonderoga,International Paper,Ticonderoga,NY,43.86,-73.42,1970,,0,,pulp,,
Johnsonburg,Domtar,Johnsonburg,PA,41.49,-78.68,1889,,0,,pulp,,
Spring Grove,Pixelle,Spring Grove,PA,39.87,-76.87,1864,,0,,pulp,,
Escanaba,Billerud,Escanaba,MI,45.8,-87.08,1911,,0,,pulp,,
Quinnesec,Billerud,Quinnesec,MI,45.8,-87.95,1985,,0,,pulp,,
Nekoosa,Domtar,Nekoosa,WI,44.31,-89.9,1893,,0,,pulp,,
Kaukauna,Ahlstrom,Kaukauna,WI,44.28,-88.26,1883,,0,,pulp,,
Mosinee,Ahlstrom,Mosinee,WI,44.79,-89.7,1910,,0,,pulp,,
Cloquet,Sappi,Cloquet,MN,46.72,-92.46,1898,,0,,pulp,,
Grand Rapids,UPM Blandin,Grand Rapids,MN,47.24,-93.53,1902,,0,,pulp,,
Longview (Nippon Dynawave),Nippon Paper,Longview,WA,46.11,-122.95,1931,,0,Largely shut after the May 2026 white-liquor tank collapse; long-term status unresolved.,pulp,,
Longview (NORPAC),NORPAC,Longview,WA,46.13,-123,1979,,0,,pulp,,
Wallula,Packaging Corp. of America,Wallula,WA,46.07,-118.9,1959,,0,,pulp,,
Toledo,Georgia-Pacific,Toledo,OR,44.62,-123.93,1957,,0,,pulp,,
Wauna,Georgia-Pacific,Clatskanie,OR,46.16,-123.4,1965,,0,,pulp,,
Springfield,International Paper,Springfield,OR,44.05,-122.97,1949,,0,,pulp,,
Lewiston,Clearwater Paper,Lewiston,ID,46.42,-116.99,1950,,0,,pulp,,
Savannah,International Paper,Savannah,GA,32.1,-81.12,1936,2025,1,,pulp,,
Riceboro,International Paper,Riceboro,GA,31.74,-81.43,1968,2025,1,,pulp,,
Cedar Springs,Georgia-Pacific,Cedar Springs,GA,31.18,-85.05,1963,2025,1,,pulp,,
Red River,International Paper,Campti,LA,31.9,-93.12,1969,2025,1,,pulp,,
Chillicothe,Pixelle,Chillicothe,OH,39.33,-82.98,1920,2025,1,,pulp,,
Georgetown,International Paper,Georgetown,SC,33.36,-79.29,1937,2024,1,,pulp,,
Orange,International Paper,Orange,TX,30.2,-93.76,1967,2023,1,,pulp,,
Canton,Pactiv Evergreen,Canton,NC,35.53,-82.84,1908,2023,1,,pulp,,
Foley,Georgia-Pacific,Perry,FL,30.06,-83.52,1954,2023,1,,pulp,,
North Charleston,WestRock,North Charleston,SC,32.88,-79.97,1937,2023,1,,pulp,,
Panama City,WestRock,Panama City,FL,30.15,-85.63,1931,2023,0,,pulp,,
Androscoggin,Pixelle,Jay,ME,44.51,-70.21,1965,2023,0,,pulp,,
Port St. Joe,St. Joe Paper,Port St. Joe,FL,29.81,-85.3,1938,1998,0,,pulp,,
St. Marys,Gilman Paper,St. Marys,GA,30.73,-81.55,1941,1999,0,,pulp,,
Mobile,International Paper,Mobile,AL,30.73,-88.06,1928,2001,0,,pulp,,
Courtland,International Paper,Courtland,AL,34.67,-87.33,1971,2014,0,,pulp,,
Natchez,International Paper,Natchez,MS,31.53,-91.43,1950,2003,0,,pulp,,
Moss Point,International Paper,Moss Point,MS,30.41,-88.53,1913,2001,0,,pulp,,
Bastrop,International Paper,Bastrop,LA,32.76,-91.88,1920,2008,0,,pulp,,
Camden,International Paper,Camden,AR,33.58,-92.83,1927,2000,0,,pulp,,
Lufkin,AbitibiBowater,Lufkin,TX,31.28,-94.72,1940,2003,0,Southland Paper Mills; early newsprint from southern pine.,pulp,,
Wickliffe,Verso,Wickliffe,KY,36.97,-89.08,1970,2019,0,,pulp,,
Luke,Verso,Luke,MD,39.47,-79.06,1888,2019,0,,pulp,,
Millinocket,Great Northern Paper,Millinocket,ME,45.65,-68.72,1900,2008,0,,pulp,,
East Millinocket,Great Northern Paper,East Millinocket,ME,45.63,-68.57,1907,2014,0,,pulp,,
Bucksport,Verso,Bucksport,ME,44.57,-68.79,1930,2014,0,,pulp,,
Madison,Madison Paper,Madison,ME,44.8,-69.87,1978,2016,0,,pulp,,
Lincoln,Lincoln Paper and Tissue,Lincoln,ME,45.36,-68.5,1882,2015,0,,pulp,,
Winslow,Scott Paper,Winslow,ME,44.54,-69.62,1892,1997,0,,pulp,,
Berlin,Fraser Papers,Berlin,NH,44.47,-71.18,1892,2006,0,,pulp,,
Groveton,Wausau Paper,Groveton,NH,44.6,-71.51,1891,2007,0,,pulp,,
Corinth,International Paper,Corinth,NY,43.25,-73.83,1869,2002,0,,pulp,,
Lock Haven,International Paper,Lock Haven,PA,41.14,-77.45,1880,2001,0,,pulp,,
Erie,International Paper,Erie,PA,42.14,-80.06,1898,2002,0,,pulp,,
Muskegon,Sappi,Muskegon,MI,43.21,-86.29,1899,2009,0,,pulp,,
Port Edwards,Domtar,Port Edwards,WI,44.35,-89.86,1896,2008,0,,pulp,,
Wisconsin Rapids,Verso,Wisconsin Rapids,WI,44.39,-89.82,1904,2020,0,,pulp,,
Kimberly,NewPage,Kimberly,WI,44.27,-88.34,1889,2008,0,,pulp,,
Sartell,Verso,Sartell,MN,45.62,-94.21,1905,2012,0,,pulp,,
Camas,Georgia-Pacific,Camas,WA,45.59,-122.41,1885,2018,0,Pulping ended; a reduced paper operation remained.,pulp,,
Port Angeles,Rayonier,Port Angeles,WA,48.12,-123.42,1930,1997,0,,pulp,,
Everett,Kimberly-Clark,Everett,WA,47.99,-122.22,1931,2012,0,,pulp,,
Bellingham,Georgia-Pacific,Bellingham,WA,48.75,-122.49,1926,2001,0,,pulp,,
Usk,Ponderay Newsprint,Usk,WA,48.31,-117.28,1989,2020,0,,pulp,,
Oregon City,Blue Heron Paper,Oregon City,OR,45.36,-122.61,1908,2011,0,,pulp,,
Samoa,Freshwater Tissue,Samoa,CA,40.81,-124.19,1965,2013,0,,pulp,,
Frenchtown,Smurfit-Stone,Frenchtown,MT,46.99,-114.23,1957,2010,0,,pulp,,
Snowflake,Catalyst Paper,Snowflake,AZ,34.5,-110.08,1961,2012,0,,pulp,,
Ketchikan,Ketchikan Pulp,Ketchikan,AK,55.37,-131.7,1954,1997,0,,pulp,,
Sitka,Alaska Pulp,Sitka,AK,57.05,-135.33,1959,1993,0,,pulp,,
Augusta sawmill,West Fraser,Augusta,GA,33.47,-81.97,1975,2025,1,Closed 2025 per Forisk's 2025 producer rankings.,sawmill,,
Estill sawmill,Canfor,Estill,SC,32.75,-81.24,1974,2025,1,Closed 2025 per Forisk's 2025 producer rankings.,sawmill,,
Darlington sawmill,Canfor,Darlington,SC,34.3,-79.87,1979,2025,1,Closed 2025 per Forisk's 2025 producer rankings.,sawmill,,
Glenwood sawmill,Domtar,Glenwood,AR,34.32,-93.55,1969,2025,1,Closed 2025 per Forisk's 2025 producer rankings.,sawmill,,
100 Mile House sawmill,West Fraser,100 Mile House,BC,51.64,-121.3,1970,2025,1,"Canadian, not US -- included for context on 2025 closure wave; verify before mapping if US-only view is needed.",sawmill,,
Henderson sawmill,West Fraser,Henderson,TX,32.15,-94.8,1998,,0,Expanded in 2025; capacity increase not separately quantified in source.,sawmill,,
Angelina sawmill,West Fraser,Lufkin,TX,31.34,-94.73,2018,,1,"Acquired by West Fraser in 2021; designed for roughly 700,000 m3/yr (~300 MMBF) at full capacity.",sawmill,300,MMBF/yr
Fulton sawmill,Canfor,Fulton,AL,32.3,-88.1,1970,,1,Canfor completed a capacity investment here in 2025 (amount not disclosed in source).,sawmill,,
Jasper sawmill,Tolko,Jasper,AL,33.83,-87.28,1970,,0,Expansion advanced in 2025; new capacity not disclosed in source.,sawmill,,
Ackerman sawmill,Tolko,Ackerman,MS,33.31,-89.17,1968,,0,Expansion with STP completed 2025; new capacity not disclosed in source.,sawmill,,
Dodson sawmill,Weyerhaeuser,Dodson,LA,31.99,-92.66,1968,,0,Modernization project completed 2025; capacity not disclosed in source.,sawmill,,
Meldrim sawmill,Interfor,Meldrim,GA,32.2,-81.36,1998,,1,One of four Simpson Lumber mills Interfor acquired in 2014; combined capacity of the four was 750 MMBF/yr.,sawmill,,
Camas panel/paper complex,Georgia-Pacific,Camas,WA,45.59,-122.41,1885,2018,0,"Listed separately from the pulp entry; pulping ended in 2018, some paper operation continued after.",mill,,
Waco recycled paper mill,Graphic Packaging,Waco,TX,31.55,-97.15,2025,,1,"New $1B recycled containerboard mill, targeted Q4 2025 startup.",paper,,
Morrilton expansion,Green Bay Packaging,Morrilton,AR,35.15,-92.74,1966,,1,"~$1B expansion adding a new continuous digester and chip mill, could more than double pulping capacity.",pulp/chip,,
Taylorsville Plywood,Georgia-Pacific,Taylorsville,MS,31.77,-89.46,1963,,0,"GP company history places first southern pine plywood production here in the 1960s; exact year not specified in sources.",plywood,,
Prosperity Plywood,Georgia-Pacific,Prosperity,SC,34.23,-81.53,1975,,1,"$14 million upgrade investment announced in 2025.",plywood,,
Gurdon Plywood,Georgia-Pacific,Gurdon,AR,33.92,-93.15,1979,,1,"Built by International Paper in 1979; GP acquired it in 2006 along with Corrigan/Camden TX plywood mills; $70M upgrade announced 2019.",plywood,,
Emporia Plywood,Georgia-Pacific,Emporia,VA,36.69,-77.54,1966,2025,1,"Permanently closed May-July 2025 amid a housing/remodel demand slump; 550+ jobs lost.",plywood,,
Coquille Plywood,Roseburg Forest Products,Coquille,OR,43.18,-124.19,1958,,1,"Now Roseburg's primary specialty softwood plywood operation after 2025 veneer-production consolidation.",plywood,,
Dillard Plywood (hardwood line),Roseburg Forest Products,Dillard,OR,43.10,-123.43,1952,2025,1,"Oldest plant in the Roseburg enterprise; hardwood plywood line closed Sept 2025 as the company exited hardwood plywood, though other Dillard operations (lumber, new MDF plant) continue.",plywood,,
Oakdale Plywood,Boise Cascade,Oakdale,LA,30.81,-92.66,1965,,1,"Originally built by Vancouver Plywood Inc., which relocated from Washington state to build sister plants at Oakdale and Florien.",plywood,,
Florien Plywood,Boise Cascade,Florien,LA,31.45,-93.46,1965,,1,"Sister plant to Oakdale, both built by Vancouver Plywood Inc. in 1965.",plywood,,
Chester Plywood,Boise Cascade,Chester,SC,34.70,-81.21,1982,,0,"Built in the 1980s (exact year not specified); had multiple owners before Boise Cascade reacquired it in 2013.",plywood,,
Havana Plywood (Coastal),Boise Cascade,Havana,FL,30.62,-84.41,1980,,0,"Formerly Coastal Plywood/Coastal Forest Resources Company, founded 1980; Boise Cascade acquired it for $512M in 2022 along with the Chapman, AL mill.",plywood,,
Chapman Plywood (Coastal),Boise Cascade,Chapman,AL,31.67,-86.71,1980,,0,"Formerly Coastal Plywood/Coastal Forest Resources Company, founded 1980; Boise Cascade acquired it for $512M in 2022 along with the Havana, FL mill.",plywood,,
Wiggins Plywood,Hood Industries,Wiggins,MS,30.86,-89.13,1971,2026,1,"Started up in 1971 by International Paper; Hood Industries acquired it in 1984. Closure announced 2026 following Tropical Storm Arthur damage and the facility's age.",plywood,,
Beaumont Plywood,Hood Industries,Beaumont,MS,31.17,-88.92,2025,,1,"New $216M laminated-plywood facility replacing one damaged by an April 2022 tornado, built at roughly 2x the prior capacity; groundbreaking May 2023, production targeted for early 2025.",plywood,,
Kalispell Plywood,Weyerhaeuser,Kalispell,MT,48.20,-114.31,1978,,0,"Originally C&C Plywood Corp.; purchased by Plum Creek Manufacturing in the late 1970s, became a Weyerhaeuser mill after the 2016 Plum Creek merger.",plywood,,
Sagola OSB,Louisiana-Pacific,Sagola,MI,46.13,-88.05,1988,,1,"Also produces LP SmartSide siding; OSB capacity approx. 410 MMSF/yr (3/8-in basis).",osb,410,MMSF/yr
Thomasville OSB,Louisiana-Pacific,Thomasville,AL,31.91,-87.73,2007,,1,"Clarke County mill; had a serious fire during 2008 startup; capacity approx. 750 MMSF/yr (3/8-in basis).",osb,750,MMSF/yr
Easton OSB,Huber Engineered Woods,Easton,ME,46.66,-67.87,1983,,1,"Huber's original 1983 OSB plant, the foundation of today's Huber Engineered Woods brand.",osb,,
Crystal Hill OSB,Huber Engineered Woods,Crystal Hill,VA,36.86,-78.91,1995,,1,"978-acre site; produces ZIP System and AdvanTech structural panels.",osb,,
Spring City OSB,Huber Engineered Woods,Spring City,TN,35.69,-84.86,1997,,1,"Opened 1997; idled in 2011 amid the housing downturn; reopened with production restarting in April 2018.",osb,,
Broken Bow OSB,Huber Engineered Woods,Broken Bow,OK,34.03,-94.74,2004,,1,"$130M mill; capacity approx. 600 MMSF/yr.",osb,600,MMSF/yr
Cohasset OSB,Huber Engineered Woods,Cohasset,MN,47.25,-93.62,2025,,0,"$440M sixth Huber Engineered Woods mill announced 2021; construction began spring 2022 with an approx. 2.5-year build; exact production-start date not confirmed in sources.",osb,,
Allendale OSB,West Fraser,Allendale,SC,33.01,-81.30,2007,,1,"Built by Georgia-Pacific, began OSB production in 2007; West Fraser acquired it for approx. $280M in Dec 2021; capacity approx. 760 MMSF/yr (3/8-in basis).",osb,760,MMSF/yr
Huguley OSB,West Fraser,Huguley,AL,32.85,-85.25,2017,,1,"West Fraser restarted this previously idled OSB mill in 2017; original construction date under prior ownership unclear.",osb,,
Jefferson OSB,West Fraser,Jefferson,TX,32.75,-94.35,2013,,1,"West Fraser restarted this previously idled OSB mill in 2013; original construction date under prior ownership unclear.",osb,,
Fordyce OSB,Georgia-Pacific,Fordyce,AR,33.81,-92.41,2000,,1,"A distinct OSB line at the same site as GP's original 1964 Fordyce plywood mill (the first southern pine plywood plant in the world), which was permanently closed in 2009.",osb,,
Hosford OSB,Georgia-Pacific,Hosford,FL,30.39,-84.80,2005,,1,"Construction began around 2002; first shipment came in 2005.",osb,,
Sutton OSB,Weyerhaeuser,Heaters,WV,38.66,-80.75,1997,,0,"Marketed as the 'Sutton' mill though located in Heaters, Braxton County; site selection began 1993-94, mill opened in the mid-to-late 1990s (exact year not confirmed in sources).",osb,,
Grayling Particleboard,Arauco,Grayling,MI,44.66,-84.71,2018,,1,"$450M plant with North America's largest-capacity continuous single-line particleboard press plus two TFL lines; began production in late 2018.",mdf,,
Moncure MDF,Arauco,Moncure,NC,35.61,-79.13,2010,,1,"Originally Uniboard's MDF/HDF plant (North America's largest at its Feb 2010 launch); Arauco acquired the site in 2012 and closed the co-located particleboard line in April 2020, retaining MDF/millwork operations.",mdf,,
Eastaboga Particleboard,Kronospan,Eastaboga,AL,33.61,-86.02,2019,,1,"New Siempelkamp particleboard line (first board Oct 9, 2019) on a site that also hosts a 329,000 m3/yr MDF line; particleboard capacity approx. 550,000 m3/yr; $463M total site investment.",mdf,550000,m3/yr
Medford MDF,Roseburg Forest Products,Medford,OR,42.33,-122.87,1975,,0,"Known as Medite; 2024 press materials describe it as part of the Rogue Valley community for 49 years, implying a mid-1970s start; exact year not confirmed.",mdf,,
Malvern MDF,Arauco,Malvern,AR,34.36,-92.81,1986,,0,"Earliest documented ownership is Willamette Industries in 1986; passed to Flakeboard in 2006, then Arauco in 2012. Exact original construction year not confirmed.",mdf,,
Adel Particleboard,SierraPine,Adel,GA,31.14,-83.42,1968,2014,1,"Built by Weyerhaeuser in 1968; sold to SierraPine in 1999; permanently closed 2014.",mdf,,
Eugene MDF,Arauco,Eugene,OR,44.05,-123.09,1956,2020,1,"Described as 50 years old in a 2006 article, implying a mid-1950s start (exact year not confirmed); Weyerhaeuser sold it to Flakeboard in 2006, Arauco acquired Flakeboard in 2012 and closed the plant May 1, 2020.",mdf,,
Dillard MDF,Roseburg Forest Products,Dillard,OR,43.10,-123.43,2024,,1,"New MDF plant (separate from Roseburg's long-running Dillard plywood/lumber complex) targeted to start up in late summer 2024 as part of a $700M+ southern Oregon investment.",mdf,,
El Dorado MDF,Roseburg Forest Products,El Dorado,AR,33.21,-92.67,1998,,1,"Built 1998 as Del-Tin Fiber, a PotlatchDeltic subsidiary; Roseburg purchased the plant for $92 million, completed February 2019.",mdf,,
Axis Sawmill,Canfor,Axis,AL,30.93,-88.03,2024,,1,"New $210M sawmill replacing older Mobile-area capacity; opened end of 2024; capacity approx. 250 MMBF/yr.",sawmill,250,MMBF/yr
Waldo Sawmill,PotlatchDeltic,Waldo,AR,33.35,-93.29,1974,,1,"$131M expansion/modernization completed 2024.",sawmill,,
Warren Sawmill,PotlatchDeltic,Warren,AR,33.61,-92.06,1994,,1,"$27M new mill built 1994 at a site Potlatch had operated since acquiring Bradley Lumber Co. in 1956; capacity approx. 220 MMBF/yr.",sawmill,220,MMBF/yr
Ola Sawmill,PotlatchDeltic,Ola,AR,35.03,-93.22,1971,,1,"One of three PotlatchDeltic Southern yellow pine mills in Arkansas, along with Waldo and Warren.",sawmill,,
Hermanville Sawmill,Canfor,Hermanville,MS,31.96,-90.84,1983,,1,"Founded as Southern Lumber Company in 1983; Canfor acquired it for approx. $48.7M in 2015.",sawmill,,
Camden Sawmill,Canfor,Camden,SC,34.26,-80.61,1983,,1,"In operation since 1983; $40M upgrade completed 2018.",sawmill,,
Conway Sawmill,Canfor,Conway,SC,33.84,-79.05,1957,,1,"Built in 1957; one of four New South Companies plants Canfor acquired in 2006.",sawmill,,
Laclede Sawmill,Idaho Forest Group,Laclede,ID,48.17,-116.75,1976,,1,"Began operations Sept 30, 1976; became part of Idaho Forest Group via the 2008 merger of Riley Creek Lumber and Bennett Forest Industries.",sawmill,,
Arcata Sawmill,Sierra Pacific Industries,Arcata,CA,40.87,-124.08,1951,2016,1,"Built on the Samoa Peninsula starting in the early 1950s; permanently closed January 2016 amid a timber-supply falloff and rising Canadian imports, over 100 jobs lost.",sawmill,,
Dierks Sawmill,Weyerhaeuser,Dierks,AR,34.12,-94.02,1918,,1,"Original Dierks Lumber & Coal Co. mill dated to 1918; Weyerhaeuser purchased Dierks Forests in 1969; replaced on-site by a new $190M facility completed 2018 with capacity approx. 380 MMBF/yr.",sawmill,380,MMBF/yr
Millport Sawmill,Weyerhaeuser,Millport,AL,33.56,-88.08,1973,,1,"Produces 2x4x8 studs; in operation since 1973.",sawmill,,
Barnwell,Cascades Inc.,Barnwell,SC,33.249244,-81.385439,2016,2023,1,"Orchids Paper Products built a 110-in Valmet tissue machine here, installed 2016; Cascades acquired the mill in 2019 and closed it in 2023 amid restructuring; site was later reacquired and reopened in 2025 by ST Group as Barnwell Tissue Solutions.",paper,30000,tons/yr
Cheboygan,Tissue Depot (formerly Great Lakes Tissue Co.),Cheboygan,MI,45.637417,-84.480802,1993,2023,1,"Great Lakes Tissue Co. began making 100% recycled towels/tissue at this site (which had paper-mill roots back to 1915) in 1993; operated later as Tissue Depot under Patriot Advanced Environmental Technologies, which was ordered by a federal court to shut its papermaking equipment amid litigation, then a Sept. 2023 warehouse fire ended operations for good.",paper,,
Cosmopolis,"Cosmo Specialty Fibers, Inc.",Cosmopolis,WA,46.953096,-123.761997,1957,2022,1,"Weyerhaeuser converted the former lumber-mill site into a dissolving/specialty cellulose pulp mill in 1957; production was shut down in Dec. 2022 under owner Cosmo Specialty Fibers; EPA later conducted a hazardous-chemical removal at the dormant site.",pulp,,
Hutchinson,Sonoco Products Co.,Hutchinson,KS,38.0521,-97.8831,1909,2023,1,"Paperboard mill opened 1909; Sonoco (owner since 2001, via acquisition from Republic Group) abruptly closed the 90,000-ton/yr mill in March 2023, laying off 116 workers.",paper,90000,tons/yr
Old Town,Nine Dragons Paper (Holdings) Ltd.,Old Town,ME,44.91723,-68.6376,2019,2023,1,"Historic Penobscot River pulp mill (papermaking here dates to 1882) was shuttered by prior owner Expera in 2015; ND Paper/Nine Dragons bought the site in 2018 and restarted it as a recycled bleached-kraft pulp mill in 2019; idled indefinitely in April 2023 citing high fiber and energy costs and has not restarted since.",pulp,,
Putney,"Marcal Paper Mills, Inc. (previously Soundview Paper Company)",Putney,VT,42.96317,-72.52301,1869,2024,1,"Tissue-making at this Sacketts Brook site dates to 1869 (Eagle Paper Mill), on a mill site used for papermaking since the early 1800s; operated most recently as Soundview/Putney Paper (Marcal brand), producing recycled tissue parent rolls; papermaking stopped Jan. 16, 2024 (the separate converting operation ran a few more weeks) after energy costs became unsustainable.",paper,,
Saint Helens,Cascades Inc.,Saint Helens,OR,45.84837,-122.80347,1927,2023,1,"St. Helens Pulp and Paper Mill was built by Crown Zellerbach (its 50th anniversary was marked in 1977); Cascades began recycled-tissue production at the site in 2002; Cascades shut its remaining paper machine and fully closed the plant in Oct. 2023 amid weak West Coast demand for brown recycled tissue.",paper,,
South Glens Falls,Essity Aktiebolag (publ),South Glens Falls,NY,43.30573,-73.63654,1883,2023,1,"Tissue mill on the Hudson River built 1883-84; Essity abruptly closed it in July 2023, consolidating US tissue production at other sites and affecting roughly 300 area jobs.",paper,,
Sumner,Sonoco Products Co.,Sumner,WA,47.21014,-122.23913,1915,2024,1,"Uncoated recycled paperboard (URB) mill running since 1915 (Sonoco-owned since 1980); Sonoco permanently closed the 40,000-ton/yr mill effective Feb. 5, 2024, citing network optimization.",paper,40000,tons/yr
Tacoma,Smurfit Westrock,Tacoma,WA,47.264633,-122.42698,1929,2023,1,"Kraft pulp and paper mill (linerboard, kraft bag paper) built 1929 by St. Regis Paper Co.; passed through Champion, Simpson Paper and RockTenn to WestRock; WestRock permanently closed the 510,000-ton/yr mill in Sept. 2023 after 94 years, citing high operating costs.",pulp,510000,tons/yr
Tama,Graphic Packaging International Inc.,Tama,IA,41.961008,-92.580208,1878,2023,1,"Paperboard mill opened 1878 (originally straw-based, later 100% recycled box board); Graphic Packaging closed the small, high-cost-per-ton mill on June 2, 2023, after 144+ years, as part of a network simplification.",paper,,
Port Angeles (Nippon Paper),"Grupo Bio PAPPEL, S.A.B. de C.V. (McKinley Paper Co.)",Port Angeles,WA,48.13496,-123.46613,1920,2024,1,"A genuinely distinct facility from the Rayonier pulp mill (1930-1997) elsewhere in Port Angeles: this integrated pulp/paper mill at Ediz Hook was built in 1920 by Crown Zellerbach, passed to Daishowa America (1988) and then Nippon Paper Industries; Nippon sold it to McKinley Paper Co. (a Grupo Bio Pappel subsidiary) in 2017, and McKinley permanently closed the mill in mid-2024 (60-day WARN notice issued late June 2024) citing recovered-paper costs and weak demand.",pulp,,
Westervelt (Gulf States Paper),Westervelt Co. (formerly Gulf States Paper Corp.),Tuscaloosa,AL,33.21,-87.57,1929,1975,0,"Built by Gulf States Paper Corp. as Alabama's first paper mill; made bleached kraft pulp and paper; in operation about 50 years before closing in the mid-1970s (exact year not confirmed, hence 1975 estimate). Parent company continued as Westervelt Co. in forest products/real estate after the mill closed.",pulp,,
Crossett,Georgia-Pacific,Crossett,AR,33.13,-91.96,1937,,0,"Kraft pulp/paper mill built 1937 by Crossett Lumber Co.; Georgia-Pacific bought the site in 1962. Bleached board production ended in 2019 with a shift toward tissue/towel, but the pulp mill and chemical plant continue operating.",pulp,,
Los Angeles Paper Box & Board Mill,Los Angeles Paper Box & Board Mills Inc.,Commerce,CA,34.00,-118.15,1901,,0,"Family-owned recycled paperboard mill and folding-carton/box plant; still operating in Commerce, CA (LA metro area).",paper,,
Simkins Industries (New Haven Pulp & Paper),Simkins Industries Inc.,New Haven,CT,41.31,-72.93,1901,2006,1,"Originally New Haven Pulp & Paper Co.; recycled old newspapers into paperboard and specialty papers (Deerfield Specialty Papers & Glassine Canada brand). Permanently closed on or about Aug. 25, 2006 after years of losses and a failed contract-concession vote.",paper,,
